Job function,Total followers
Information Technology,10400
Engineering,6342
Business Development,5130
Research,2959
Operations,2770
Education,2592
Sales,2318
Marketing,1782
Finance,1199
Human Resources,1171
Consulting,1142
Program and Project Management,1012
Media and Communication,963
Administrative,871
Accounting,764
Customer Success and Support,751
Arts and Design,581
Community and Social Services,566
Product Management,473
Quality Assurance,467
Healthcare Services,387
Entrepreneurship,271
Legal,264
Military and Protective Services,203
Purchasing,135
Real Estate,122
