Location,Total followers
"Greater Bengaluru Area, India",3352
"Greater Delhi Area, India",2750
"Greater Hyderabad Area, India",1831
"Mumbai Metropolitan Region, India",1513
"Greater Chennai Area, India",1342
"Pune/Pimpri-Chinchwad Area, India",1287
"London Area, United Kingdom, United Kingdom",904
"Berlin Metropolitan Area, Germany",879
New York City Metropolitan Area,817
"Greater Munich Metropolitan Area, Germany",803
"Greater Kolkata Area, India",704
"Cairo, Egypt",674
"Noida, India",594
"Karāchi, Pakistan",531
Dallas-Fort Worth Metroplex,495
"Greater Paris Metropolitan Region, France",471
San Francisco Bay Area,448
"Frankfurt Rhine-Main Metropolitan Area, Germany",444
"Lahore, Pakistan",427
"Greater Ahmedabad Area, India",401
"Greater Toronto Area, Canada, Canada",398
"Greater Hamburg Area, Germany",365
"Greater São Paulo Area, Brazil",353
"Greater Coimbatore Area, India",352
"Cologne Bonn Region, Germany",346
Washington DC-Baltimore Area,340
"Greater Indore Area, India",326
Greater Boston,317
Greater Chicago Area,317
"Nairobi County, Kenya",316
Los Angeles Metropolitan Area,301
"Stuttgart Region, Germany",295
"Greater Nagpur Area, India",284
"Greater Istanbul, Türkiye",278
Atlanta Metropolitan Area,269
"Grand Tunis Metropolitan Area, Tunisia",269
"Johannesburg Metropolitan Area, South Africa",262
"Lagos, Nigeria",261
"Athens Metropolitan Area, Greece",253
"Zürich Metropolitan Area, Switzerland",247
"Greater Dusseldorf Area, Germany",245
"Greater Jaipur Area, India",242
"Ruhr Region, Germany",223
"Greater Buenos Aires, Argentina",213
"The Randstad, Netherlands, Netherlands",208
"Greater Lucknow Area, India",207
Greater Houston,203
"Greater Sydney Area, Australia",202
Singapore,201
"Greater Madrid Metropolitan Area, Spain",200
"Greater Melbourne Area, Australia",198
"Greater Nuremberg Metropolitan Area, Germany",197
"Greater Bhopal Area, India",188
Miami-Fort Lauderdale Area,184
"Greater Dublin, Ireland",183
"Karachi Division, Pakistan",182
Greater Seattle Area,177
"Jakarta Metropolitan Area, Indonesia",176
"Bogotá D.C. Metropolitan Area, Colombia",173
"Greater Kuala Lumpur, Malaysia",173
Greater Philadelphia,172
"Vienna, Austria",166
"Austin, Texas Metropolitan Area",165
"Abuja, Nigeria",159
"Greater Milan Metropolitan Area, Italy",159
"Metro Manila, Philippines",157
"Rhein-Neckar Metropolitan Region, Germany",154
"Casablanca Metropolitan Area, Morocco",152
"Lahore District, Pakistan",143
"Manchester Area, United Kingdom, United Kingdom",141
"Mexico City Metropolitan Area, Mexico",141
"Islamabad, Pakistan",139
"Bhubaneswar, India",132
"Hannover-Braunschweig-Göttingen-Wolfsburg Region, Germany",132
"Greater Barcelona Metropolitan Area, Spain",122
"Greater Karlsruhe Area, Germany",121
"Greater Allahabad Area, India",120
"Santiago Metropolitan Area, Chile",120
Greater Phoenix Area,117
"Alexandria, Egypt",115
Charlotte Metro,114
"Lisbon Metropolitan Area, Portugal",112
Greater Tampa Bay Area,112
"Greater Vijayawada District, India",108
"Lima Metropolitan Area, Peru",108
"Greater Montreal Metropolitan Area, Canada",107
"Greater Vadodara Area, India",106
"Greater Surat Area, India",106
"Addis Ababa, Ethiopia",104
"Greater Patna Area, India",104
Raleigh-Durham-Chapel Hill Area,104
"Ho Chi Minh City Metropolitan Area, Vietnam",102
"Warsaw Metropolitan Area, Poland",102
"City of Cape Town, South Africa",99
Denver Metropolitan Area,99
"Greater Rio de Janeiro, Brazil",99
"Rabat Metropolitan Area, Morocco",99
"Greater Vancouver Metropolitan Area, Canada",98
"Greater Tubingen Area, Germany",96
"Greater Freiburg Area, Germany",95
