Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
08/12/2023,687,0,687,387,7,0,7,22,0,22,1,0,1,0,0,0,0.043668122,0,0.043668122
08/13/2023,525,0,525,253,16,0,16,6,0,6,0,0,0,0,0,0,0.041904762,0,0.041904762
08/14/2023,2160,0,2160,695,42,0,42,112,0,112,0,0,0,0,0,0,0.071296296,0,0.071296296
08/15/2023,1964,0,1964,628,14,0,14,-167,0,-167,-34,0,-34,2,0,2,-0.094195519,0,-0.094195519
08/16/2023,944,0,944,375,15,0,15,31,0,31,0,0,0,1,0,1,0.049788136,0,0.049788136
08/17/2023,637,0,637,210,12,0,12,-12,0,-12,0,0,0,0,0,0,0,0,0
08/18/2023,461,0,461,182,17,0,17,3,0,3,0,0,0,0,0,0,0.043383948,0,0.043383948
08/19/2023,944,0,944,408,21,0,21,64,0,64,2,0,2,0,0,0,0.092161017,0,0.092161017
08/20/2023,3105,0,3105,1108,71,0,71,154,0,154,4,0,4,0,0,0,0.073752013,0,0.073752013
08/21/2023,2819,0,2819,920,50,0,50,130,0,130,3,0,3,3,0,3,0.065980844,0,0.065980844
08/22/2023,1808,0,1808,655,27,0,27,74,0,74,0,0,0,0,0,0,0.055862832,0,0.055862832
08/23/2023,1621,0,1621,588,18,0,18,93,0,93,5,0,5,3,0,3,0.073411474,0,0.073411474
08/24/2023,1114,0,1114,414,17,0,17,44,0,44,1,0,1,0,0,0,0.055655296,0,0.055655296
08/25/2023,947,0,947,338,16,0,16,24,0,24,1,0,1,0,0,0,0.043294615,0,0.043294615
08/26/2023,857,0,857,382,22,0,22,27,0,27,1,0,1,0,0,0,0.058343057,0,0.058343057
08/27/2023,1005,0,1005,417,22,0,22,19,0,19,0,0,0,0,0,0,0.04079602,0,0.04079602
08/28/2023,1138,0,1138,511,20,0,20,42,0,42,1,0,1,1,0,1,0.056239016,0,0.056239016
08/29/2023,1350,0,1350,422,27,0,27,34,0,34,1,0,1,0,0,0,0.045925926,0,0.045925926
08/30/2023,223,0,223,93,4,0,4,9,0,9,0,0,0,-1,0,-1,0.053811659,0,0.053811659
08/31/2023,552,0,552,191,26,0,26,7,0,7,1,0,1,0,0,0,0.061594203,0,0.061594203
09/01/2023,604,0,604,267,12,0,12,9,0,9,1,0,1,1,0,1,0.03807947,0,0.03807947
09/02/2023,470,0,470,161,20,0,20,6,0,6,1,0,1,0,0,0,0.057446809,0,0.057446809
09/03/2023,474,0,474,194,8,0,8,-5,0,-5,0,0,0,0,0,0,0.006329114,0,0.006329114
09/04/2023,1151,0,1151,426,18,0,18,23,0,23,0,0,0,0,0,0,0.035621199,0,0.035621199
09/05/2023,1404,0,1404,305,14,0,14,22,0,22,0,0,0,0,0,0,0.025641026,0,0.025641026
09/06/2023,1514,0,1514,395,8,0,8,43,0,43,1,0,1,0,0,0,0.034346103,0,0.034346103
09/07/2023,1075,0,1075,248,2,0,2,8,0,8,0,0,0,0,0,0,0.009302326,0,0.009302326
09/08/2023,1203,0,1203,310,5,0,5,8,0,8,0,0,0,2,0,2,0.012468828,0,0.012468828
09/09/2023,1063,0,1063,290,4,0,4,16,0,16,0,0,0,0,0,0,0.018814675,0,0.018814675
09/10/2023,1285,0,1285,341,11,0,11,24,0,24,4,0,4,0,0,0,0.030350195,0,0.030350195
09/11/2023,1082,0,1082,279,6,0,6,17,0,17,0,0,0,1,0,1,0.022181146,0,0.022181146
09/12/2023,1060,0,1060,296,5,0,5,14,0,14,0,0,0,0,0,0,0.017924528,0,0.017924528
09/13/2023,884,0,884,247,6,0,6,19,0,19,1,0,1,0,0,0,0.029411765,0,0.029411765
09/14/2023,702,0,702,246,8,0,8,25,0,25,2,0,2,0,0,0,0.04985755,0,0.04985755
09/15/2023,313,0,313,108,4,0,4,8,0,8,0,0,0,0,0,0,0.038338658,0,0.038338658
09/16/2023,300,0,300,94,0,0,0,4,0,4,0,0,0,0,0,0,0.013333333,0,0.013333333
09/17/2023,266,0,266,84,0,0,0,4,0,4,0,0,0,0,0,0,0.015037594,0,0.015037594
09/18/2023,375,0,375,107,3,0,3,1,0,1,0,0,0,0,0,0,0.010666667,0,0.010666667
09/19/2023,324,0,324,103,12,0,12,0,0,0,0,0,0,0,0,0,0.037037037,0,0.037037037
09/20/2023,608,0,608,207,3,0,3,7,0,7,0,0,0,0,0,0,0.016447368,0,0.016447368
09/21/2023,711,0,711,271,4,0,4,30,0,30,4,0,4,0,0,0,0.053445851,0,0.053445851
09/22/2023,598,0,598,220,2,0,2,16,0,16,2,0,2,0,0,0,0.033444816,0,0.033444816
09/23/2023,590,0,590,192,3,0,3,3,0,3,0,0,0,0,0,0,0.010169492,0,0.010169492
09/24/2023,760,0,760,244,7,0,7,3,0,3,0,0,0,0,0,0,0.013157895,0,0.013157895
09/25/2023,779,0,779,273,5,0,5,38,0,38,0,0,0,0,0,0,0.055198973,0,0.055198973
09/26/2023,639,0,639,217,8,0,8,17,0,17,0,0,0,0,0,0,0.039123631,0,0.039123631
09/27/2023,688,0,688,225,1,0,1,7,0,7,0,0,0,0,0,0,0.011627907,0,0.011627907
09/28/2023,539,0,539,165,4,0,4,10,0,10,0,0,0,0,0,0,0.025974026,0,0.025974026
09/29/2023,517,0,517,174,3,0,3,9,0,9,1,0,1,0,0,0,0.025145068,0,0.025145068
09/30/2023,607,0,607,182,5,0,5,10,0,10,2,0,2,0,0,0,0.02800659,0,0.02800659
10/01/2023,772,0,772,259,14,0,14,7,0,7,4,0,4,0,0,0,0.03238342,0,0.03238342
10/02/2023,1229,0,1229,552,11,0,11,238,0,238,7,0,7,0,0,0,0.20829943,0,0.20829943
10/03/2023,692,0,692,246,4,0,4,5,0,5,1,0,1,0,0,0,0.014450867,0,0.014450867
10/04/2023,760,0,760,237,5,0,5,8,0,8,0,0,0,0,0,0,0.017105263,0,0.017105263
10/05/2023,752,0,752,232,5,0,5,7,0,7,0,0,0,0,0,0,0.015957447,0,0.015957447
10/06/2023,470,0,470,170,5,0,5,7,0,7,0,0,0,0,0,0,0.025531915,0,0.025531915
10/07/2023,554,0,554,180,2,0,2,3,0,3,0,0,0,0,0,0,0.009025271,0,0.009025271
10/08/2023,559,0,559,185,1,0,1,1,0,1,0,0,0,0,0,0,0.003577818,0,0.003577818
10/09/2023,479,0,479,178,3,0,3,6,0,6,0,0,0,0,0,0,0.018789144,0,0.018789144
10/10/2023,708,0,708,163,0,0,0,2,0,2,0,0,0,0,0,0,0.002824859,0,0.002824859
10/11/2023,594,0,594,219,4,0,4,9,0,9,0,0,0,0,0,0,0.021885522,0,0.021885522
10/12/2023,524,0,524,188,1,0,1,6,0,6,1,0,1,0,0,0,0.015267176,0,0.015267176
10/13/2023,611,0,611,244,2,0,2,7,0,7,0,0,0,0,0,0,0.014729951,0,0.014729951
10/14/2023,687,0,687,204,5,0,5,9,0,9,0,0,0,0,0,0,0.020378457,0,0.020378457
10/15/2023,675,0,675,218,8,0,8,7,0,7,0,0,0,0,0,0,0.022222222,0,0.022222222
10/16/2023,691,0,691,301,5,0,5,2,0,2,1,0,1,0,0,0,0.011577424,0,0.011577424
10/17/2023,645,0,645,228,5,0,5,5,0,5,0,0,0,0,0,0,0.015503876,0,0.015503876
10/18/2023,517,0,517,188,2,0,2,-7,0,-7,0,0,0,0,0,0,-0.00967118,0,-0.00967118
10/19/2023,242,0,242,103,1,0,1,5,0,5,0,0,0,0,0,0,0.024793388,0,0.024793388
10/20/2023,61,0,61,37,0,0,0,1,0,1,-1,0,-1,0,0,0,0,0,0
10/21/2023,223,0,223,127,2,0,2,-7,0,-7,-4,0,-4,0,0,0,-0.040358744,0,-0.040358744
10/22/2023,374,0,374,180,3,0,3,0,0,0,0,0,0,0,0,0,0.00802139,0,0.00802139
10/23/2023,470,0,470,202,7,0,7,-16,0,-16,-1,0,-1,0,0,0,-0.021276596,0,-0.021276596
10/24/2023,411,0,411,151,4,0,4,4,0,4,0,0,0,0,0,0,0.01946472,0,0.01946472
10/25/2023,529,0,529,227,5,0,5,8,0,8,0,0,0,0,0,0,0.024574669,0,0.024574669
10/26/2023,665,0,665,282,3,0,3,26,0,26,0,0,0,0,0,0,0.043609023,0,0.043609023
10/27/2023,481,0,481,204,1,0,1,13,0,13,2,0,2,0,0,0,0.033264033,0,0.033264033
10/28/2023,675,0,675,233,10,0,10,14,0,14,0,0,0,0,0,0,0.035555556,0,0.035555556
10/29/2023,757,0,757,260,11,0,11,11,0,11,1,0,1,0,0,0,0.030383091,0,0.030383091
10/30/2023,929,0,929,343,10,0,10,17,0,17,0,0,0,1,0,1,0.030139935,0,0.030139935
10/31/2023,589,0,589,219,6,0,6,8,0,8,0,0,0,0,0,0,0.0237691,0,0.0237691
11/01/2023,655,0,655,240,8,0,8,11,0,11,0,0,0,0,0,0,0.029007634,0,0.029007634
11/02/2023,755,0,755,275,2,0,2,28,0,28,1,0,1,0,0,0,0.041059603,0,0.041059603
11/03/2023,743,0,743,271,4,0,4,33,0,33,0,0,0,0,0,0,0.049798116,0,0.049798116
11/04/2023,1293,0,1293,563,20,0,20,35,0,35,16,0,16,0,0,0,0.05491106,0,0.05491106
11/05/2023,1796,0,1796,634,16,0,16,42,0,42,7,0,7,2,0,2,0.037305122,0,0.037305122
11/06/2023,888,0,888,417,10,0,10,8,0,8,0,0,0,0,0,0,0.02027027,0,0.02027027
11/07/2023,758,0,758,365,2,0,2,20,0,20,6,0,6,0,0,0,0.036939314,0,0.036939314
11/08/2023,691,0,691,324,5,0,5,22,0,22,0,0,0,0,0,0,0.039073806,0,0.039073806
11/09/2023,1131,0,1131,506,22,0,22,38,0,38,7,0,7,0,0,0,0.059239611,0,0.059239611
11/10/2023,699,0,699,285,13,0,13,43,0,43,6,0,6,0,0,0,0.08869814,0,0.08869814
11/11/2023,974,0,974,348,17,0,17,23,0,23,0,0,0,0,0,0,0.041067762,0,0.041067762
11/12/2023,1007,0,1007,395,14,0,14,46,0,46,0,0,0,0,0,0,0.05958292,0,0.05958292
11/13/2023,847,0,847,376,15,0,15,30,0,30,0,0,0,0,0,0,0.053128689,0,0.053128689
